identifier,price,timestamp
cambodia-xmas,1392,1752150332950
cambodia-xmas,1392,1752151497535
cambodia-xmas,1392,1752166588891
cambodia-xmas,1392,1752180553631
cambodia-xmas,1393,1752210015990
cambodia-xmas,1393,1752224106572
cambodia-xmas,1393,1752239919315
cambodia-xmas,1393,1752252867745
cambodia-xmas,1393,1752266963409
cambodia-xmas,1393,1752296160689
cambodia-xmas,1393,1752310351332
cambodia-xmas,1393,1752325698760
cambodia-xmas,1393,1752339092752
cambodia-xmas,1393,1752353257640
cambodia-xmas,1393,1752382754103
cambodia-xmas,1393,1752396760508
cambodia-xmas,1393,1752412143686
cambodia-xmas,1393,1752425519308
cambodia-xmas,1393,1752439642167
cambodia-xmas,1393,1752469357257
cambodia-xmas,1393,1752483586513
cambodia-xmas,1393,1752499320852
cambodia-xmas,1393,1752512151171
cambodia-xmas,1393,1752526212466
cambodia-xmas,1393,1752555727659
cambodia-xmas,1641,1752570154017
cambodia-xmas,1641,1752585834743
cambodia-xmas,1850,1752598572652
cambodia-xmas,1850,1752612637805
cambodia-xmas,1850,1752642126727
cambodia-xmas,1641,1752656234143
cambodia-xmas,1870,1752672168815
cambodia-xmas,1870,1752685022428
cambodia-xmas,1870,1752699061944
cambodia-xmas,1871,1752728524371
cambodia-xmas,1871,1752742608933
cambodia-xmas,1871,1752758563941
cambodia-xmas,1851,1752771318278
cambodia-xmas,1642,1752785422973
cambodia-xmas,1643,1752814975548
cambodia-xmas,1643,1752829034930
cambodia-xmas,1643,1752844960075
cambodia-xmas,2147,1752857859529
cambodia-xmas,1852,1752871797398
cambodia-xmas,1872,1752900998768
cambodia-xmas,1872,1752915207138
cambodia-xmas,2167,1752930583441
cambodia-xmas,2167,1752944022114
cambodia-xmas,1872,1752958161299
cambodia-xmas,1872,1752987794601
cambodia-xmas,1872,1753001585990
cambodia-xmas,1872,1753017390852
cambodia-xmas,1872,1753030368558
cambodia-xmas,1872,1753044550929
cambodia-xmas,1872,1753074264705
cambodia-xmas,1872,1753088395105
cambodia-xmas,1872,1753104240148
cambodia-xmas,1872,1753117032645
cambodia-xmas,1872,1753131044538
cambodia-xmas,1872,1753160522956
cambodia-xmas,1852,1753174667881
cambodia-xmas,1643,1753190640559
cambodia-xmas,1643,1753203417630
cambodia-xmas,1643,1753217426212
cambodia-xmas,1642,1753247043344
cambodia-xmas,1642,1753261083111
cambodia-xmas,1642,1753277057765
cambodia-xmas,1642,1753289876061
cambodia-xmas,1642,1753303861516
cambodia-xmas,1641,1753333339208
cambodia-xmas,1641,1753347469848
cambodia-xmas,1641,1753363396957
cambodia-xmas,1641,1753376127060
cambodia-xmas,1641,1753390235859
cambodia-xmas,1641,1753419805926
cambodia-xmas,1641,1753433788214
cambodia-xmas,1641,1753449731811
cambodia-xmas,1641,1753462527735
cambodia-xmas,1641,1753476644681
cambodia-xmas,1640,1753506077232
cambodia-xmas,1640,1753520013654
cambodia-xmas,1640,1753535425311
cambodia-xmas,1640,1753548831169
cambodia-xmas,1640,1753562935847
cambodia-xmas,1640,1753592650315
cambodia-xmas,1640,1753606399906
cambodia-xmas,1640,1753622234089
cambodia-xmas,1640,1753635203769
cambodia-xmas,1640,1753649370716
cambodia-xmas,1640,1753679164686
cambodia-xmas,1640,1753693140014
cambodia-xmas,1640,1753709113677
cambodia-xmas,1640,1753721907266
cambodia-xmas,1640,1753735943525
cambodia-xmas,1641,1753765599404
cambodia-xmas,1641,1753779534053
cambodia-xmas,1641,1753795582488
cambodia-xmas,1641,1753808330886
cambodia-xmas,1641,1753822288627
cambodia-xmas,1643,1753851960124
cambodia-xmas,1643,1753865944561
cambodia-xmas,1643,1753881938661
cambodia-xmas,1643,1753894589595
cambodia-xmas,1643,1753908636120
cambodia-xmas,1645,1753938247942
cambodia-xmas,1645,1753952313446
cambodia-xmas,1645,1753968260175
cambodia-xmas,1645,1753981055284
cambodia-xmas,1645,1753995069426
cambodia-xmas,1647,1754024954739
japan-easter,1953,1754051234437
japan-easter,1953,1754052210978
japan-easter,1953,1754054607758
japan-easter,1953,1754067449135
japan-easter,1985,1754081480086
japan-easter,1985,1754110867520
japan-easter,1985,1754124879838
japan-easter,1985,1754140638258
japan-easter,1985,1754153668915
japan-easter,1985,1754167781396
